"PIN Diode: Reverse Bias",,,,
,,,,
"U_PIN","I_PIN","I_PIN","I_PIN","I_PIN"
"V","uA","uA","uA","uA"
,"I_laser = 19.5 mA","I_laser = 31.4 mA","I_laser = 40 mA","I_laser = 47.1 mA"
0,-14.6,-29.9,-44.7,-59.7
-4,-14.6,-29.9,-44.8,-59.7
-8,-14.6,-29.8,-44.7,-59.7
-12,-14.6,-29.9,-44.8,-59.8
-15,-14.9,-29.9,-44.8,-59.7
